index,taxon,lat,lon,value,unit,dataset,datetime,subset,taxons
30427,Chaetoceros,43.38281552,4.8792288294,17200.0,Nombre par litre,MED,1987-06-02 11:00:00,val,[    0.     0. 17200.     0.     0.     0.]
30776,Chaetoceros,43.378148429,4.8457282509,7400.0,Nombre par litre,MED,1987-06-09 09:30:00,val,[ 100.  200. 7400.    0.    0.    0.]
16143,Chaetoceros,43.4343047641,3.6645374015,180000.0,Nombre par litre,MED,1987-06-10 10:00:00,train,[     0.      0. 180000.      0.      0.      0.]
19305,Dinophysis acuminata,43.3776359209,3.5668698951,0.0,Nombre par litre,MED,1987-06-10 11:00:00,train,[0. 0. 0. 0. 0. 0.]
32263,Dinophysis acuminata,43.4129855772,5.1634005918,0.0,Nombre par litre,MED,1987-06-15 09:00:00,val,[0. 0. 0. 0. 0. 0.]
30779,Chaetoceros,43.378148429,4.8457282509,6200.0,Nombre par litre,MED,1987-06-15 11:00:00,val,[   0. 3600. 6200.    0.    0.    0.]
30429,Chaetoceros,43.38281552,4.8792288294,36800.0,Nombre par litre,MED,1987-06-15 11:00:00,val,[    0.  2800. 36800.     0.     0.     0.]
35180,Dinophysis acuminata,42.134664825,9.5406780702,0.0,Nombre par litre,MED,1987-06-15 13:00:00,val,[   0. 1300.    0.    0.    0.    0.]
36640,Chaetoceros,42.0768824658,9.7958493007,1000.0,Nombre par litre,MED,1987-06-15 15:00:00,val,[   0.  600. 1000.    0.    0.    0.]
33019,Chaetoceros,43.0873189621,5.9064212393,600.0,Nombre par litre,MED,1987-06-17 10:00:00,val,[   0. 2200.  600.    0.    0.    0.]
30782,Chaetoceros,43.378148429,4.8457282509,15000.0,Nombre par litre,MED,1987-06-23 09:30:00,val,[ 1100.  1600. 15000.     0.     0.     0.]
16145,Chaetoceros,43.4343047641,3.6645374015,10000.0,Nombre par litre,MED,1987-06-24 10:00:00,train,[    0.     0. 10000.     0.     0.     0.]
19306,Dinophysis acuminata,43.3776359209,3.5668698951,0.0,Nombre par litre,MED,1987-06-24 11:00:00,train,[0. 0. 0. 0. 0. 0.]
30785,Dinophysis acuminata,43.378148429,4.8457282509,400.0,Nombre par litre,MED,1987-06-30 09:00:00,val,[400. 400.   0.   0.   0.   0.]
33022,Dinophysis acuminata,43.0873189621,5.9064212393,0.0,Nombre par litre,MED,1987-06-30 11:00:00,val,[   0. 1600.    0.    0.    0.    0.]
32264,Dinophysis acuminata,43.4129855772,5.1634005918,0.0,Nombre par litre,MED,1987-07-03 13:00:00,val,[0. 0. 0. 0. 0. 0.]
16147,Chaetoceros,43.4343047641,3.6645374015,460000.0,Nombre par litre,MED,1987-07-06 10:00:00,train,[     0.      0. 460000.      0.      0.      0.]
